Honeypot\Security Service,Description,Interaction,Link,Ports,Where to Place,Currently Logging,Sentinel Defined,Path to Log
Adbhoney,Low interaction honeypot designed for Android Debug Bridge over TCP/IP,Low,https://github.com/huuck/ADBHoney,TCP: 5555,,Yes,No,/data/adbhoney/log/adbhoney.json
Ciscoasa,"A low interaction honeypot for the Cisco ASA component capable of detecting CVE-2018-0101, a DoS and remote code execution vulnerability",Low,https://github.com/Cymmetria/ciscoasa_honeypot,TCP: 8443 | UDP:5000,,Yes,No,/data/ciscoasa/log/ciscoasa.log
CitrixHoneypot,Detect and log CVE-2019-19781 scan and exploitation attempts.,Low,https://github.com/MalwareTech/CitrixHoneypot,TCP: 443,,Yes,No,/data/citrixhoneypot/logs/server.log
ConPot,Conpot is an ICS honeypot with the goal to collect intelligence about the motives and methods of adversaries targeting industrial control systems.,Medium-High,http://conpot.org/,"TCP: 80,102,502,1025,2404,10001,44818,47808,50100 | UDP: 161, 623",,Yes,No,/data/conpot/log/conpot_IEC104.json || conpot_guardian_ast.json || conpot_ipmi.json || conpot_kamstrup_382.json
Cowrie,Cowrie is a medium to high interaction SSH and Telnet honeypot designed to log brute force attacks and the shell interaction performed by the attacker.,Medium-High,https://github.com/cowrie/cowrie,"TCP: 22,23",,Yes,Yes,/data/cowrie/log/cowrie.json
Ddospot,"DDoSPot is a honeypot ""platform"" for tracking and monitoring UDP-based Distributed Denial of Service (DDoS) attacks. The platform currently supports following honeypot services/servers in form of relatively simple plugins called pots: (DNS, NTSP, SSDP, CHARGEN, UDP)",Low,https://github.com/aelth/ddospot,"UDP: 19,53,123,1900",,Yes,No,/data/ddospot/log/ntpot.log || chargenpot.log || dnspot.log || ssdpot.log
Dicompot,Dicompot is a fully functional DICOM server with a twist,,https://github.com/nsmfoo/dicompot,TCP: 11112,,No,No,/data/dicompot/log/dicompot.log
Dionaea,"dionaea intention is to trap malware exploiting vulnerabilities exposed by services offered to a network, the ultimate goal is gaining a copy of the malware.",Medium-High,https://github.com/DinoTools/dionaea,"TCP: 21,42,135,443,445,1433,1723,1883,3306,8081 | UDP: 69",,Yes,No,/data/dionaea/log/dionaea.json
ElasticPot,"This is a honeypot simulating a vulnerable Elasticsearch server opened to the
Internet. It uses ideas from various other honeypots",Medium,https://gitlab.com/bontchev/elasticpot,9200,,Yes,No,/data/elasticpot/log/elasticpot.json
Endlessh,"Endlessh is an SSH tarpit that very slowly sends an endless, random SSH banner. It keeps SSH clients locked up for hours or even days at a time.",Low,https://github.com/skeeto/endlessh,TCP: 22,,No,No,/data/endlessh/log/endlessh.log
Fatt,A script for extracting network metadata and fingerprints such as JA3 and HASSH from packet capture files (pcap) or live network traffic. The main use-case is for monitoring honeypots - intergates with Suricata,None - Monitoring,https://github.com/0x4D31/fatt,None,,Yes,No,/data/fatt/log/fatt.log
Glutton,Glutton provide SSH and a TCP proxy. SSH proxy works as a MITM between attacker and server to log everything in plain text.,,https://github.com/mushorg/glutton,*,,No,No,/data/glutton/log/glutton.log
Hellpot,HellPot is an endless honeypot based on Heffalump that sends unruly HTTP bots to hell.,Low,https://github.com/yunginnanet/HellPot,,,No,No,/data/hellpot/log/hellpot.log
Heralding,"Sometimes you just want a simple honeypot that collects credentials, nothing more. Heralding is that honeypot! Currently the following protocols are supported: ftp, telnet, ssh, http, https, pop3, pop3s, imap, imaps, smtp, vnc, postgresql and socks5.",Low,https://github.com/johnnykv/heralding,"TCP:21,22,23,25,80,110,143,443,993,995,1080,5432,5900",,No,No,/data/heralding/log/auth.csv
Honeytrap,Honeytrap  is  a network security tool written to observe attacks against TCP or UDP services. It runs as a daemon and starts server  processes dynamically on requested ports. A server emulates a well-known service by simply sending captured network traffic  to a connected host.,Low - Monitoring,https://github.com/armedpot/honeytrap/,*,,Yes,No,/data/honeytrap/log/attackers.json
Ipphoney,"This is a honeypot simulating a printer that supports the Internet Printing
Protocol and is exposed to the Internet.",Low,https://gitlab.com/bontchev/ipphoney,TCP: 631,,No,No,/data/ipphoney/log/ipphoney.json
Log4pot,A honeypot for the Log4Shell vulnerability (CVE-2021-44228).,Low-Medium,https://github.com/thomaspatzke/Log4Pot,"TCP: 80,443,8080,9200,25565",,No,No,/data/log4pot/log/log4pot.log
Mailoney,"Mailoney is a SMTP Honeypot I wrote just to have fun learning Python. There are various modules or types (see below) that provide custom modes to fit your needs. Happily accepting advise, feature or pull requests.",Low,https://github.com/phin3has/mailoney,TCP: 25,,Yes,No,/data/mailoney/log/commands.log
medpot,Is a honeypot that tries to emulate HL7 / FHIR honeypot,Low,https://github.com/schmalle/medpot,TCP: 2575,,No,No,/data/medpot/log/medpot.log
NGINX,"NGINX provides secure remote access (reverse proxy) to Kibana, CyberChef, Elasticvue, GeoIP AttackMap and Spiderfoot.",None - Tools,https://github.com/nginx/unit-docs,TCP: 64297,,Yes,No,/data/nginx/log/access.log
qHoneypots,,,,,,No,No,
Redishoneypot,Redis Cache Honeypot capturing commands against redis cache,Low,https://github.com/cypwnpwnsocute/RedisHoneyPot,TCP: 6379,,Yes,No,/data/redishoneypot/log/redishoneypot.log
Sentrypeer,SentryPeer® is a fraud detection tool. It lets bad actors try to make phone calls and saves the IP address they came from and number they tried to call.,Low,https://github.com/SentryPeer/SentryPeer,UDP: 5060,,Yes,No,/data/sentrypeer/log/sentrypeer.json
Snare + Tanner,"SNARE is a web application honeypot sensor attracting all sort of maliciousness from the Internet. || TANNER is a remote data analysis and classification service to evaluate HTTP requests and composing the response then served by SNARE. TANNER uses multiple application vulnerability type emulation techniques when providing responses for SNARE. In addition, TANNER provides Dorks for SNARE powering its luring capabilities.",Medium - High,https://github.com/mushorg/snare || https://github.com/mushorg/tanner,TCP: 80,,Yes,No,unknown
Suricata,"Suricata is a network IDS, IPS and NSM engine developed by the OISF and the Suricata community.",None - Monitoring,https://github.com/OISF/suricata,*,,Yes,No,/data/suricata/log/eve.json
